Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,Image_URL,GBP_MSRP,USD_MSRP,CAD_MSRP,EUR_MSRP,Packaging,Availability
4884,Wild_Hunters,2005,Creator,Designer_Set,630,NA,http://images.brickset.com/sets/images/4884-1.jpg,24.99,30,NA,NA,Box,Retail
4888,Underwater_Exploration,2005,Creator,Designer_Set,623,NA,http://images.brickset.com/sets/images/4888-1.jpg,34.99,40,NA,NA,Box,Retail
4919,LEGO_Deluxe,2005,Creator,,1500,NA,http://images.brickset.com/sets/images/4919-1.jpg,19.99,NA,NA,NA,Tub,Retail
5349,Quatro_100,2005,Quatro,,100,NA,http://images.brickset.com/sets/images/5349-1.jpg,19.99,NA,NA,NA,Not_specified,Not_specified
5352,50th_Anniversary_Tub,2005,Duplo,,139,NA,http://images.brickset.com/sets/images/5352-2.jpg,29.99,20,NA,NA,Not_specified,Not_specified
5361,Quatro_50,2005,Quatro,,50,NA,http://images.brickset.com/sets/images/5361-1.jpg,12.99,NA,NA,NA,Not_specified,Not_specified
5363,Mountain_Climber,2005,Quatro,,15,NA,http://images.brickset.com/sets/images/5363-1.jpg,NA,25,NA,NA,Not_specified,Not_specified
5369,Creator_Tub,2005,Creator,,700,NA,http://images.brickset.com/sets/images/5369-1.jpg,NA,20,NA,NA,Tub,Retail
5370,Make_and_Create_Bucket,2005,Make_and_Create,,700,NA,http://images.brickset.com/sets/images/5370-1.jpg,9.99,NA,NA,NA,Bucket,Retail
5371,Duplo_Bucket_Green,2005,Duplo,,120,NA,http://images.brickset.com/sets/images/5371-1.jpg,9.99,NA,NA,NA,Not_specified,Not_specified
5460,Happy_Flower_Rattle_&_Teether,2005,Baby,,2,NA,http://images.brickset.com/sets/images/5460-1.jpg,2.99,NA,NA,NA,Not_specified,Not_specified
5461,Shape_Sorter_House,2005,Baby,,12,NA,http://images.brickset.com/sets/images/5461-1.jpg,7.99,13,NA,NA,Not_specified,Not_specified
5462,Bathtime_Boat,2005,Baby,,4,1,http://images.brickset.com/sets/images/5462-1.jpg,7.99,10,NA,NA,Not_specified,Not_specified
5463,Play_Train,2005,Baby,,6,1,http://images.brickset.com/sets/images/5463-1.jpg,7.99,10,NA,NA,Not_specified,Not_specified
5464,Play_Plane,2005,Baby,,2,1,http://images.brickset.com/sets/images/5464-1.jpg,3.99,NA,NA,NA,Not_specified,Not_specified
5465,Bendy_Caterpillar,2005,Baby,,3,NA,http://images.brickset.com/sets/images/5465-1.jpg,6.99,NA,NA,NA,Not_specified,Not_specified
5476,My_First_Quatro_Set,2005,Quatro,,20,NA,http://images.brickset.com/sets/images/5476-1.jpg,7.99,12.99,NA,NA,Not_specified,Not_specified
5503,Duplo_Dog,2005,Duplo,,32,NA,http://images.brickset.com/sets/images/5503-1.jpg,7.99,10,NA,NA,Not_specified,Not_specified
5504,Duplo_Airplane,2005,Duplo,,32,NA,http://images.brickset.com/sets/images/5504-1.jpg,7.99,10,NA,NA,Not_specified,Not_specified
